
app1a	Recreador de misas	797.4307573918085	2014-03-04
app2o	Juego de snake	423.9022920656109	2019-10-20
app3w	Intagram	320.97153665380887	2013-11-19
app4t	Mando a distancia	135.59174922348575	2016-09-18
app5s	Un simulador de ps2	948.7848625374755	2015-06-21
app6i	Intagram	996.1972036719177	2016-01-06
app7o	Mando a distancia	1017.2999962004371	2010-05-13
app8p	Un programa de cocina	315.14394026145715	2018-05-05
app9i	Juego de snake	144.6961006342036	2015-11-15
app10j	Monopoly	735.0391172984831	2012-05-13
